comment_text,like_count,published_at
"*mv* *releases*


me: crawling out of my coffin after waiting for a comeback",627,2020-06-26T09:08:10Z
"R3c0meback COLOMBIA PRESENTE
Vamos blinks",520,2021-05-29T18:14:53Z
2025년에는 누가 있을까요? 👋🏻이거 다시 한번 상기시켜 드리고 싶네요.. 걸작이죠..,5,2025-07-24T00:15:40Z
"no one:
literally no one:
meanwhile yt: freezing views
Edit: thank u for the likes!! :""))
STREAM LOVESICK GIRLS <333",511,2020-06-26T09:25:35Z
"Bp: look at you, now look at me

Me: shook in spanish",279,2020-06-26T09:10:44Z
Anyone else looking through the comments and thinking: ‘I wish I said that’,530,2020-06-26T09:02:50Z
THEY ARE BACK!,7,2025-07-04T15:13:11Z
"Esto va muy lento, qué pasa Blinks?*suspiro*no pasa  nada sigamos reproduciendo",626,2021-05-31T21:20:45Z
"no one:
literally no one:
the comments: “the comments: “No OnE: LiTeraLLy No OnE:” ”",332,2020-06-26T08:56:41Z
This new era is gonna be 🔥,9,2025-07-11T05:26:55Z
"the entire comments section:
""no one""
""literally no one""",189,2020-06-26T10:00:47Z
"me checking comments: 58s = 4.1k



me: quickly trying to comment as fast asf",247,2020-06-26T09:18:00Z
"No one 

Literally no one 


YouTube: “let’s freeze the v13ws!”",807,2020-06-26T09:22:38Z
I watched this song 100 times but still love it ❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2025-07-16T11:10:40Z
WHY IS EVERYONE COMMENTING THE SAME THING I'M   L O S T,245,2020-06-26T12:22:15Z
Everyone literally everyone: No one..,286,2020-06-26T09:48:07Z
Why there’s so many comments like: “no one:  literally no one:   “ ????,422,2020-06-26T08:56:08Z
"Blackpink: Lets see how many vi3ws we could make in an hour.
Youtube: Hold my vi3w fr33zing !!",208,2020-06-26T09:38:44Z
"When jennie say: 
Bring out your boss bit*ch

Me: *heart attack*
Blinks: **DRAG ALL THE HATERS**",413,2020-06-26T09:47:15Z
i pray a random person who likes this will be a billionare,245,2020-06-26T08:42:57Z
BLACKPINK IN YOUR AREA will be forever iconic ❤,1,2025-07-11T11:57:47Z
jisoo: I'm Zuko,327,2020-06-26T09:13:14Z
BLARMYs: SCREAMING BECAUSE THEY CAN'T BREAK THEIR SCREENS IN HALF,237,2020-06-26T08:58:15Z
"Nobody:
Jennie:- bring out the pop bit-ch",363,2020-06-26T09:14:05Z
Who is watching this legend song in 2025,2,2025-07-26T07:06:48Z
why do people keep commenting the same thing? “Everyone: comments and gets a hundred of likes “,157,2020-06-26T11:32:30Z
"damn, all this “No one” comments are giving me anxiety.
Edit: ANYWAYS LET’S NOT STOP STRE-AMING BLINKS! AND PLEASE REPORT THESE COMMENTS GUYS! FOR Y’ALL HATERS. HOW ABOUT YOU FOCUS ON YOUR GROUPS? Stop pestering us! Report those mf cuz’ THEY FREEZE THE VIEWS. AND PLEASE NO EMOJIS! LET’S STRE@M PROPERLY. NO FASTFORWARD. LOVE Y’ALL",228,2020-06-26T12:22:41Z
"Nobody: 
Me and other people:
_comments before premiere_",156,2020-06-26T08:57:14Z
I will never get tired of listening to this,0,2025-07-11T06:20:43Z
"No one:
Literally no one:
me after watching it nonstop:
look at you now look at meeeeeee",145,2020-06-26T09:21:31Z
"me: in a family gathering 
them: why are you crying??",262,2020-06-26T09:07:46Z
"I bet LISA is the one who gonna say “BLACKPINK IN YOUR ARE” in this Song, mark my comment",133,2020-06-26T09:00:09Z
Slay blackpink y’all got me into K-pop now at school everyone refers to me as the K-POP OBSESSED GURL and I even taught most people including boys to listen and dance to K-pop lol 😅😅❤❤❤❤ LOVE U BLACKPINK 😘😘,4,2025-07-09T17:29:09Z
Blackpink is back everyone!,1,2025-07-12T03:11:30Z
"nobody:
me at 5 am at the top of my lungs: LOOK AT YOU NOW LOOK AT ME",468,2020-06-26T09:19:22Z
me: *confused about lisa's hair*,218,2020-06-26T09:07:56Z
But- Okay I’m dead adiós everyone. **^**,429,2020-06-26T09:04:02Z
"BP: look at you now look at me
Me: i felt offended",288,2020-06-26T09:14:28Z
This hit is unforgettable 🔥,0,2025-07-06T02:20:48Z
"ROSÉ: * shows her little finger then wear a mask*

Me: HOLD UP, did she just- welp, ready to get robbed BLINKS",548,2020-06-26T09:10:33Z
"nobody:
blinks: *str3aming
yt: oh damn, lemme freeze the vi3w$",827,2020-06-26T09:33:15Z
"Jenlisa: look at you now look at me
Me ashamed: I know im ugly damn",283,2020-06-26T09:02:49Z
It was too perfect,3,2025-07-11T08:54:44Z
when is this 'no one:' thing going from the comment section ? I am tired of seeing it in literally every video,174,2020-06-26T09:03:22Z
"every one: 
literally everyone: nO OnE litErAllY nO One",175,2020-06-26T08:58:57Z
"blinks: ""I hope youtube doesn't freeze vie-""
youtube: *evil cackle*",715,2020-06-26T09:43:44Z
Miss this era of blackpink 😢,5,2025-07-15T03:15:35Z
"'Look up in the sky 
It's a bird it's a plane' no it's actually my wig flying",520,2020-06-26T09:06:31Z
"I AM SO TIRED OF REPORTING THE ACCOUNTS WHO SAY, No One: Literally no one.
HATERS JUST GET OUT OF HERE.",406,2020-06-26T12:21:27Z
Eu so esperqva que nesse clipe a Jisoo falasse o começo onde a Lisa falou poxa YG nossa todas ja disseram isso menos a Jisoo,3890,2020-06-26T15:46:54Z
This song is LEGENDARY.,0,2025-07-14T15:05:52Z
"""Look up in the sky it's a bird its a plane. """,251,2020-06-26T09:09:53Z
"No one:

Me singing in front of my mirror : look at you now look at me~",350,2020-06-26T09:11:20Z
"90% comments: no one, literally nobody 
10% comments: other",252,2020-06-26T10:10:21Z
"omggg, came back here after listening to Jump and HYLT literally gave me goosebumps 🥹",2,2025-07-11T08:20:43Z
"no one :
Literally no one:
Lisa : look at you look at me
me: i know im an ugly and fat potato dont attacc me",169,2020-06-26T09:16:08Z
literally some blinks:  watches over and over on other devices.,441,2020-06-26T09:23:23Z
"no one: ha-
filipinos: hakdog
blackpink: how you like that?",129,2020-06-26T08:58:51Z
Hearing blackpink in your area again made me soooo nostalgic,1,2025-07-11T11:54:34Z
"*flashbacks to yt rewind 2020 comment section*

Also, what's happening?",207,2020-06-26T15:46:21Z
LA BELLEZA DE JENNIE NO ES UNA BROMA,245,2021-04-05T11:19:48Z
"No one:


Literally no one: 


Not even yg from his jail cell:


The comment section: Look at you now look at me",482,2020-06-26T09:19:28Z
four girls are perfect pieces for each other,2,2025-07-13T02:08:42Z
Yg goal 50M views in 24 hours. Blinks no we want more. Blinks told haters that we are not biggest fandom but we are most powerful fandom 85 M views,300,2020-06-27T07:43:29Z
Y’all stop it with the “no one; literally no one” comments,142,2020-06-26T09:48:31Z
"Blackpink: ""How you like that""
Me literally seeing the comments section: what the hell man I don't like that.",156,2020-06-26T10:14:02Z
I will support blackpink forever,5,2025-07-11T09:13:27Z
"LISA 2019 : Here lm kicing the door
LISA 2020: HOW YOU LIKE THAT",184,2020-06-26T19:53:58Z
"""black pink in your area"" it's lisaaaaa",139,2020-06-26T09:04:34Z
"no one:
literally no one:
me at 5 am: *DDODOONGDDORUROO-*",225,2020-06-26T09:02:49Z
This is the best black pink song ever❤❤❤🔥🔥🔥,0,2025-07-14T13:42:08Z
